id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
118904,,,,Gl 520B,,,13.630952,48.137435,21.901,-203.08,-107.98,0.0,11.0,9.298,,,-13.303506,-6.052351,16.310719,-1.67e-05,1.609e-05,-7.65e-06,3.5685749650188767,0.84015673139425,-9.845596225e-07,-5.23492115e-07,,,UMa,2,66283,Gl 520,0.0166264679689353,,,
118905,,,,Gl 520C,,,13.627912,48.137345,21.901,-203.08,-107.98,0.0,14.46,12.758,m,1.66,-13.308343,-6.041771,16.310696,-1.669e-05,1.61e-05,-7.65e-06,3.5677790220188763,0.8401551553942499,-9.845596225e-07,-5.23492115e-07,,,UMa,3,66283,Gl 520,0.0006867521061488,,,
118906,,,,GJ 3795,,,13.643702,25.828732,20.0,-593.56,87.65,0.0,12.56,11.055,M3,1.52,-16.360924,-7.509491,8.71365,-2.065e-05,5.384e-05,7.65e-06,3.5719129219958847,0.4507964227171,-2.8776600823e-06,4.24934342e-07,,,Boo,1,118906,,0.0032960971217745,,,
118907,,,,GJ 3796,,,13.648242,-2.263519,18.8679,-280.12,-75.06,0.0,12.12,10.741,M3,1.58,-17.125016,-7.885187,-0.745199,-1.047e-05,2.339e-05,-6.86e-06,3.5731014719959013,-0.0395058593302,-1.358060082e-06,-3.63886604e-07,,,Vir,1,118907,,0.0044014928428681,,,
118908,,,,GJ 1174,,,13.66977,43.772575,16.1031,-1100.12,298.89,-42.0,12.76,11.725,M3,1.64,-10.533571,-4.920992,11.138601,6.34e-06,9.777e-05,-1.286e-05,3.5787375173868736,0.7639755491925,-5.3335322625e-06,1.44908385e-06,,,CVn,1,118908,,0.0017782794100389,,,
118909,,,,GJ 3797,,,13.671502,47.208293,22.1729,306.49,-492.4,0.0,15.3,13.571,m,1.73,-13.643266,-6.383581,16.271099,-2.123e-05,-4.63e-05,-3.595e-05,3.5791908412724767,0.82394014914465,1.4859054495e-06,-2.387237107e-06,,,CVn,1,118909,,0.0003247880187635,,,
118910,,,,Gl 521.2B,,,13.673643,50.516022,25.227,-139.08,56.19,-13.6,10.46,8.451,,1.36,-14.52532,-6.805249,19.469722,5.59e-06,2.14e-05,-6.37e-06,3.579751265056654,0.88167090784035,-6.742788669e-07,2.72416807e-07,,,UMa,2,66493,Gl 521.2,0.0362743801476457,,,
118911,,,,GJ 3798,,,13.686674,30.031954,22.3214,-1586.68,102.61,0.0,15.83,14.086,m,1.75,-17.471577,-8.257544,11.17148,-6.841e-05,0.00015757,9.61e-06,3.583162930914668,0.52415647839625,-7.6924417066e-06,4.97447925e-07,,,CVn,1,118911,,0.0002021156766961,,,
118912,,,,GJ 3799,,,13.692305,14.823095,23.2558,-242.57,60.48,0.0,12.09,10.257,k-m,1.5,-20.311267,-9.63775,5.949657,-1.015e-05,2.545e-05,6.59e-06,3.5846371443727536,0.2587118127657,-1.1760125449e-06,2.93215314e-07,,,Boo,1,118912,,0.0068738491959032,,,
118913,,,,GJ 3800,,,13.702744,-16.006068,12.1951,-509.82,-13.35,0.0,13.5,13.069,m,,-10.576796,-5.054138,-3.362667,-1.28e-05,2.729e-05,-7.6e-07,3.587369972144689,-0.2793585901313,-2.4716771062e-06,-6.4722626e-08,,,Vir,1,118913,,0.0005157034063026,,,
118914,,,,GJ 3802,,,13.716923,9.073041,19.6078,-319.5,-116.29,0.0,13.09,11.628,m,,-17.439186,-8.413087,3.092021,-1.477e-05,2.659e-05,-1.092e-05,3.591082124014531,0.1583544414782,-1.5489797094e-06,-5.63770436e-07,,,Boo,1,118914,,0.0019444644164481,,,
118915,,,,Gl 524,,,13.746682,-54.106532,13.8504,-246.04,-364.78,0.0,12.5,11.793,k,1.54,-7.286065,-3.584845,-11.220327,1.051e-05,2.358e-05,-1.436e-05,3.5988730342210182,-0.94433713419755,-1.1928355796e-06,-1.768483951e-06,,,Cen,1,118915,,0.001670321225815,,,
118916,,,,GJ 3803A,,,13.741461,51.683869,24.3309,-739.89,-12.91,0.0,12.3,10.369,M3,,-13.545077,-6.640244,19.090069,-3.951e-05,7.782e-05,-9.4e-07,3.597506067602947,0.9020536885581,-3.5870879411e-06,-6.2608838e-08,,,UMa,1,118916,GJ 3803,0.0062001186420872,,,
118917,,,,GJ 3805,,,13.767341,57.007429,23.8095,-173.66,179.83,0.0,13.3,11.416,DA3,,-11.602001,-5.786592,19.970008,6.63e-06,2.571e-05,1.13e-05,3.604281465628117,0.9949673349917,-8.419274377e-07,8.71859834e-07,,,UMa,1,118917,,0.0023637416081162,,,
